cantidad_solicitada,modelo,prompt_id,id,producto,categoria,resena,sentimiento,largo_palabras,archivo_origen
10,llama3.2:1b,prompt_1_electronicos,1,Sony A7R IV,Cámara,Una de las mejores cámaras DSLR en su precio.,POSITIVO,9,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,2,Apple AirPods Pro,Dispositivo de audio,Amplias bocas de sonido y una buena calidad de reproducción.,POSITIVO,10,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,3,LG OLED C9 Smart TV,Teléfono inteligente,"Excelente pantalla por encima y bajo, con un diseño elegante.",NEGATIVO,10,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,4,HP Envy x360 Laptop,Laptop,Baja precio para una buena calidad de producto y servicio.,NEUTRO,10,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,5,Samsung Q90 R/AQ80,Refrigerador,Excelente rendimiento energético y una buena calidad de productos.,NEGATIVO,9,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,6,Microsoft Surface Laptop 3,Laptop,Baja precio para una excelente experiencia de usuario.,NEUTRO,8,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,7,Sony WH1000XM4,Dispositivo de audio,Amplias bocas de sonido y una buena calidad de reproducción.,POSITIVO,10,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,8,Dell XPS Tower Desktop,Desktop,Muy asequible con una excelente experiencia de usuario.,NEGATIVO,8,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,9,Sony PlayStation 5,Juego,Una de las mejores consolas de juegos en su precio.,POSITIVO,10,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_1_electronicos,10,Lenovo ThinkPad X1 Carbon,Tableta portátil,Baja precio para una excelente experiencia de usuario y rendimiento.,NEUTRO,10,results/llama3.2_1b_prompt_1_electronicos_10gen.txt
10,llama3.2:1b,prompt_2_belleza,1,Luz de barba sintética,Higiene personal y cuidado del cabello,Me encanta porque hace que mi barba sea más brillante y saludable.,NEGATIVO,12,results/llama3.2_1b_prompt_2_belleza_10gen.txt
