cantidad_solicitada,n_solicitado,modelo,prompt_id,prompt_corto,id,producto,categoria,resena,sentimiento,largo_palabras,archivo_origen,metodo_extraccion
10,10,llama3.2:1b,prompt_1_electronicos,Electrónicos,1,Sony A7R IV,Cámara,Una de las mejores cámaras DSLR en su precio.,POSITIVO,9,results\llama3.2_1b_prompt_1_electronicos_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_1_electronicos,Electrónicos,2,Apple AirPods Pro,Dispositivo de audio,Amplias bocas de sonido y una buena calidad de reproducción.,POSITIVO,10,results\llama3.2_1b_prompt_1_electronicos_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_1_electronicos,Electrónicos,3,LG OLED C9 Smart TV,Teléfono inteligente,"Excelente pantalla por encima y bajo, con un diseño elegante.",NEGATIVO,10,results\llama3.2_1b_prompt_1_electronicos_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_1_electronicos,Electrónicos,4,HP Envy x360 Laptop,Laptop,Baja precio para una buena calidad de producto y servicio.,NEUTRO,10,results\llama3.2_1b_prompt_1_electronicos_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_1_electronicos,Electrónicos,5,Samsung Q90 R/AQ80,Refrigerador,Excelente rendimiento energético y una buena calidad de productos.,NEGATIVO,9,results\llama3.2_1b_prompt_1_electronicos_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_1_electronicos,Electrónicos,6,Microsoft Surface Laptop 3,Laptop,Baja precio para una excelente experiencia de usuario.,NEUTRO,8,results\llama3.2_1b_prompt_1_electronicos_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_1_electronicos,Electrónicos,7,Sony WH1000XM4,Dispositivo de audio,Amplias bocas de sonido y una buena calidad de reproducción.,POSITIVO,10,results\llama3.2_1b_prompt_1_electronicos_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_1_electronicos,Electrónicos,8,Dell XPS Tower Desktop,Desktop,Muy asequible con una excelente experiencia de usuario.,NEGATIVO,8,results\llama3.2_1b_prompt_1_electronicos_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_1_electronicos,Electrónicos,9,Sony PlayStation 5,Juego,Una de las mejores consolas de juegos en su precio.,POSITIVO,10,results\llama3.2_1b_prompt_1_electronicos_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_1_electronicos,Electrónicos,10,Lenovo ThinkPad X1 Carbon,Tableta portátil,Baja precio para una excelente experiencia de usuario y rendimiento.,NEUTRO,10,results\llama3.2_1b_prompt_1_electronicos_10gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,1,Samsung TV,Electrónica,Me encantó la calidad de la pantalla y el diseño. Fue una compra excelente.,NEGATIVO,14,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,2,Sony Headphones,Electrónica,"Esto es genial, las altavoces son increíbles. Fue una compra excelente.",NEGATIVO,11,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,3,LG Refrigerador,Electrónica,Es muy rápido y el refrigerado es perfecto. Una gran elección.,POSITIVO,11,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,4,HP Laptop,Computadoras,Me encantó la relación calidad-precio y la confiabilidad. Fue una compra excelente.,NEGATIVO,12,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,5,Samsung Limpieza de neveras,Electrónica,Era muy eficiente y limpió mi nevera de manera rápida. Una gran elección.,POSITIVO,13,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,6,Panasonic TV,Electrónica,Me encantó la calidad de la imagen y el diseño. Fue una compra excelente.,NEGATIVO,14,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,7,Sony Caja de aluminio,Electrónica,Era muy buena calidad y durabilidad. Una gran elección.,POSITIVO,9,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,8,LG Ventilador,Eletronicos,Me encantó la eficiencia energética y el diseño. Fue una compra excelente.,NEGATIVO,12,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,9,Samsung Proyector,Eletronicos,Me encantó la calidad de imagen y el diseño. Fue una compra excelente.,NEGATIVO,13,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,10,Panasonic TV,Electrónica,Era muy buena calidad y durabilidad. Una gran elección.,POSITIVO,9,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,11,Sony Caja de almacenamiento externo,Eletronicos,Era muy buena calidad y durabilidad. Una gran elección.,NEGATIVO,9,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,12,LG Limpieza de electrodomésticos,Eletronicos,Me encantó la eficiencia y el diseño. Fue una compra excelente.,NEGATIVO,11,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,13,Samsung Proyector,Eletronicos,Me encantó la calidad de imagen y el diseño. Fue una compra excelente.,NEGATIVO,13,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,14,Panasonic TV,Electrónica,Era muy buena calidad y durabilidad. Una gran elección.,POSITIVO,9,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,15,Sony Caja de almacenamiento externo,Eletronicos,Era muy buena calidad y durabilidad. Una gran elección.,NEGATIVO,9,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,16,LG Ventilador,Eletronicos,Me encantó la eficiencia energética y el diseño. Fue una compra excelente.,NEGATIVO,12,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,17,Samsung Proyector,Eletronicos,Me encantó la calidad de imagen y el diseño. Fue una compra excelente.,NEGATIVO,13,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,18,Panasonic TV,Electrónica,Era muy buena calidad y durabilidad. Una gran elección.,POSITIVO,9,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,19,Sony Caja de almacenamiento externo,Eletronicos,Era muy buena calidad y durabilidad. Una gran elección.,NEGATIVO,9,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
20,20,llama3.2:1b,prompt_1_electronicos,Electrónicos,20,LG Limpieza de electrodomésticos,Eletronicos,Me encantó la eficiencia y el diseño. Fue una compra excelente.,NEGATIVO,11,results\llama3.2_1b_prompt_1_electronicos_20gen.txt,json_completo
50,50,llama3.2:1b,prompt_1_electronicos,Electrónicos,123456789,Laptop Lenovo,Electrónica,10 de 5. Este laptop es el mejor producto que he comprado en años.,NEGATIVO,14,results\llama3.2_1b_prompt_1_electronicos_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_1_electronicos,Electrónicos,234567890,Teléfono Samsung,Electrónica,9 de 5. El teléfono es muy rápido y tiene una gran pantalla.,POSITIVO,13,results\llama3.2_1b_prompt_1_electronicos_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_1_electronicos,Electrónicos,345678901,Refrigerador Whirlpool,Electrónica,8 de 5. Este refrigerador es muy cómodo y tiene una gran capacidad.,POSITIVO,13,results\llama3.2_1b_prompt_1_electronicos_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_1_electronicos,Electrónicos,456789012,Sistema deAudio Sonos,Electrónica,7 de 5. El sistema de audio es muy claro y tiene una gran variedad de música.,POSITIVO,17,results\llama3.2_1b_prompt_1_electronicos_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_1_electronicos,Electrónicos,567890123,Luz LED,Electrónica,6 de 5. La luz es muy brillante y tiene una gran durabilidad.,NEUTRO,13,results\llama3.2_1b_prompt_1_electronicos_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_1_electronicos,Electrónicos,678901234,Cable HDMI,Electrónica,5 de 5. El cable es muy seguro y tiene una gran calidad.,POSITIVO,13,results\llama3.2_1b_prompt_1_electronicos_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_1_electronicos,Electrónicos,789012345,Teclado Logitech,Electrónica,4 de 5. El teclado es muy preciso y tiene una gran variedad de funciones.,NEUTRO,15,results\llama3.2_1b_prompt_1_electronicos_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_1_electronicos,Electrónicos,890123456,Mazo deDiseño SketchUp,Electrónica,3 de 5. El mazón es muy útil pero no es perfecto.,NEGATIVO,12,results\llama3.2_1b_prompt_1_electronicos_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_1_electronicos,Electrónicos,981234567,Papel deCarta,Cocina,2 de 5. El papel es muy delgado pero no tiene muchas funciones.,NEGATIVO,13,results\llama3.2_1b_prompt_1_electronicos_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_1_electronicos,Electrónicos,2345678901,Mazo deJabón,HigienePersonal,2 de 5. El mazón es muy útil pero no es perfecto.,NEGATIVO,12,results\llama3.2_1b_prompt_1_electronicos_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_1_electronicos,Electrónicos,3456789012,Cerámica,Artesanía,1 de 5. La cerámica es muy aburrida y no tiene muchas opciones.,NEGATIVO,13,results\llama3.2_1b_prompt_1_electronicos_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_1_electronicos,Electrónicos,4567890123,Mazo deLectura,Libros,1 de 5. El mazón es muy útil pero no es perfecto.,NEGATIVO,12,results\llama3.2_1b_prompt_1_electronicos_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_1_electronicos,Electrónicos,5678901234,Papel deFamiliaridad,Cocina,0 de 5. El papel es muy húmedo y no tiene muchas opciones.,NEGATIVO,13,results\llama3.2_1b_prompt_1_electronicos_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_1_electronicos,Electrónicos,6789012345,Mazo deHigiene,HigienePersonal,-1 de 5. El mazón es muy aburrida y no tiene muchas opciones.,NEGATIVO,13,results\llama3.2_1b_prompt_1_electronicos_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_1_electronicos,Electrónicos,7890123456,Cerámica,Artesanía,-1 de 5. La cerámica es muy aburrida y no tiene muchas opciones.,NEGATIVO,13,results\llama3.2_1b_prompt_1_electronicos_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_1_electronicos,Electrónicos,8901234567,Mazo deLectura,Libros,-1 de 5. El mazón es muy útil pero no es perfecto.,NEGATIVO,12,results\llama3.2_1b_prompt_1_electronicos_50gen.txt,json_completo
