modelo,prompt_id,id,producto,categoria,reseña,sentimiento,largo_palabras,archivo_origen,n_solicitado,prompt_corto
llama3.2:1b,prompt_1_electronicos,1.0,Samsung Galaxy S22,Dispositivos electrónicos personales,"Este dispositivo es increíble para el trabajo y la vida diaria. La cámara está excelente, el sistema de gestión de contenido es rápido y fácil de usar.",NEGATIVO,27,results2/llama3.2_1b_prompt_1_electronicos_10gen.txt,10,Electrónicos
llama3.2:1b,prompt_1_electronicos,2.0,Apple AirPods Pro,Accesorios de música portátil,Estos accesorios son increíbles para escuchar música en el camino a la cervecería. La calidad del sonido es excelente y la duración de las baterías es impresionante.,NEUTRO,27,results2/llama3.2_1b_prompt_1_electronicos_10gen.txt,10,Electrónicos
llama3.2:1b,prompt_1_electronicos,3.0,Dell XPS 15,Dispositivos electrónicos personales,"Este laptop es increíble para el trabajo y la universidad. La pantalla grande, el procesador rápido y la memoria de almacenamiento amplio son superiores a cualquier otro.",POSITIVO,27,results2/llama3.2_1b_prompt_1_electronicos_10gen.txt,10,Electrónicos
llama3.2:1b,prompt_1_electronicos,4.0,Asus ROG Zenith Plus,Dispositivos electrónicos personales,"Estos juguetes son increíbles para los fans de la gaming. La velocidad del sistema, la precisión de la cámara y la duración de las baterías son superiores a cualquier otro.",POSITIVO,30,results2/llama3.2_1b_prompt_1_electronicos_10gen.txt,10,Electrónicos
llama3.2:1b,prompt_1_electronicos,5.0,Lenovo ThinkPad X1 Carbon,Dispositivos electrónicos personales,"Este portátil es increíble para el trabajo y la aventura. La pantalla grande, el procesador rápido y la memoria de almacenamiento amplio son superiores a cualquier otro.",NEGATIVO,27,results2/llama3.2_1b_prompt_1_electronicos_10gen.txt,10,Electrónicos
llama3.2:1b,prompt_1_electronicos,6.0,Sony WH-1000XM4,Accesorios de música portátil,Estos accesorios son increíbles para escuchar música en el camino a la cervecería. La calidad del sonido es excelente y las baterías duran horas.,POSITIVO,24,results2/llama3.2_1b_prompt_1_electronicos_10gen.txt,10,Electrónicos
llama3.2:1b,prompt_1_electronicos,7.0,HP Omen 16,Dispositivos electrónicos personales,"Este laptop es increíble para el trabajo y la universidad. La pantalla grande, el procesador rápido y la memoria de almacenamiento amplio son superiores a cualquier otro.",NEGATIVO,27,results2/llama3.2_1b_prompt_1_electronicos_10gen.txt,10,Electrónicos
llama3.2:1b,prompt_1_electronicos,8.0,Dell Alienware M15,Dispositivos electrónicos personales,"Estos juguetes son increíbles para los fans de la gaming. La velocidad del sistema, la precisión de la cámara y la duración de las baterías son superiores a cualquier otro.",POSITIVO,30,results2/llama3.2_1b_prompt_1_electronicos_10gen.txt,10,Electrónicos
llama3.2:1b,prompt_1_electronicos,9.0,Microsoft Surface Laptop 3,Dispositivos electrónicos personales,"Este laptop es increíble para el trabajo y la universidad. La pantalla grande, el procesador rápido y la memoria de almacenamiento amplio son superiores a cualquier otro.",NEGATIVO,27,results2/llama3.2_1b_prompt_1_electronicos_10gen.txt,10,Electrónicos
llama3.2:1b,prompt_1_electronicos,10.0,Dell Inspiron 15 5000,Dispositivos electrónicos personales,"Este portátil es increíble para el trabajo y la aventura. La pantalla grande, el procesador rápido y la memoria de almacenamiento amplio son superiores a cualquier otro.",NEGATIVO,27,results2/llama3.2_1b_prompt_1_electronicos_10gen.txt,10,Electrónicos
llama3.2:1b,prompt_2_belleza,1.0,Cremas hidratantes,Belleza facial,Este producto es increíble. Me hace sentir como una mujer young y radiante.,NEGATIVO,13,results2/llama3.2_1b_prompt_2_belleza_10gen.txt,10,Belleza
llama3.2:1b,prompt_2_belleza,2.0,Shampoos clarificantes,Capilar limpio y saludable,Esto es perfecto para mi capilaria. Me hace sentir relajado y con el cabello que quiero.,POSITIVO,16,results2/llama3.2_1b_prompt_2_belleza_10gen.txt,10,Belleza
